"time_stamp","product_id","quantity"
"2015-09-13 23:25:11","498883","1"
"2015-09-13 23:23:54","498883","1"
"2015-09-13 23:14:32","1863241","1"
"2015-09-13 22:13:09","1863241","1"
"2015-09-13 22:00:14","1863241","1"
"2015-09-13 21:33:33","1863241","1"
"2015-09-13 23:57:45","498883","1"
"2015-09-13 23:55:50","498883","1"
"2015-09-13 23:23:01","498883","1"
"2015-09-13 23:49:30","1863241","1"
"2015-09-13 23:41:19","1863241","1"
"2015-09-13 23:35:08","1863241","1"
"2015-09-13 22:58:46","1863241","1"
"2015-09-13 00:02:58","1863241","1"
"2015-09-13 00:07:59","1863241","1"
"2015-09-13 00:07:49","1863241","1"
"2015-09-13 19:15:18","498883","1"
"2015-09-13 19:19:44","498883","1"
"2015-09-13 19:17:31","498883","1"
"2015-09-13 19:16:39","498883","1"
"2015-09-13 19:21:45","1863241","1"
"2015-09-13 19:19:09","1863241","1"
"2015-09-13 18:43:37","1863241","1"
"2015-09-13 19:21:35","1863241","2"
"2015-09-13 19:57:23","498883","1"
"2015-09-13 19:53:14","498883","1"
"2015-09-13 19:26:45","498883","1"
"2015-09-13 20:19:15","741057","2"
"2015-09-13 20:18:32","741057","4"
"2015-09-13 20:18:16","741057","2"
"2015-09-13 10:48:48","1863241","1"
"2015-09-13 10:54:39","1863241","1"
"2015-09-13 10:45:48","1863241","1"
"2015-09-13 10:47:13","1863241","1"
"2015-09-13 10:54:23","741057","1"
"2015-09-13 10:30:04","1863241","1"
"2015-09-13 10:48:09","1863241","1"
"2015-09-13 10:46:00","498883","1"
"2015-09-13 10:44:42","498883","1"
"2015-09-13 10:51:03","1863241","1"
"2015-09-13 10:47:03","1863241","1"
"2015-09-13 10:48:47","1863241","1"
"2015-09-13 10:54:00","498883","1"
"2015-09-13 10:15:43","498883","1"
"2015-09-13 10:47:37","1863241","1"
"2015-09-13 11:00:30","1863241","1"
"2015-09-13 11:38:15","1863241","2"
"2015-09-13 11:40:59","1863241","1"
"2015-09-13 11:27:27","1863241","1"
"2015-09-13 11:27:50","1863241","1"
"2015-09-13 11:31:03","1863241","1"
"2015-09-13 09:58:42","498883","1"
"2015-09-13 09:52:08","498883","1"
"2015-09-13 10:00:24","1863241","1"
"2015-09-13 10:01:42","1863241","1"
"2015-09-13 08:57:29","741057","1"
"2015-09-13 08:44:27","498883","1"
"2015-09-13 08:39:54","498883","1"
"2015-09-13 08:58:51","498883","1"
"2015-09-13 08:50:59","1863241","1"
"2015-09-13 08:57:13","1863241","1"
"2015-09-13 11:55:16","498883","1"
"2015-09-13 11:56:34","498883","1"
"2015-09-13 11:57:59","1863241","1"
"2015-09-13 11:57:33","1863241","1"
"2015-09-13 11:51:32","1863241","1"
"2015-09-13 11:56:58","1863241","1"
"2015-09-13 12:02:42","1863241","1"
"2015-09-13 12:50:50","741057","1"
"2015-09-13 12:50:27","741057","1"
"2015-09-13 12:04:12","1863241","1"
"2015-09-13 12:41:23","1863241","1"
"2015-09-13 12:48:59","1863241","1"
"2015-09-13 12:45:18","741057","2"
"2015-09-13 12:49:39","1863241","1"
"2015-09-13 12:52:38","1863241","1"
"2015-09-13 12:46:29","1863241","1"
"2015-09-13 12:34:14","1863241","1"
"2015-09-13 12:32:26","1863241","1"
"2015-09-13 12:22:02","498883","1"
"2015-09-13 12:26:09","1863241","1"
"2015-09-13 12:20:44","1863241","1"
"2015-09-13 12:18:08","1863241","1"
"2015-09-13 12:28:26","498883","1"
"2015-09-13 12:15:52","1863241","1"
"2015-09-13 12:15:08","1863241","1"
"2015-09-13 12:40:25","1863241","1"
"2015-09-13 12:37:48","1863241","1"
"2015-09-13 12:43:56","498883","1"
"2015-09-13 12:32:41","498883","1"
"2015-09-13 12:19:26","498883","1"
"2015-09-13 12:15:56","498883","1"
"2015-09-13 12:35:01","498883","1"
"2015-09-13 12:34:36","1863241","1"
"2015-09-13 12:02:32","1863241","1"
"2015-09-13 12:34:07","1863241","1"
"2015-09-13 12:36:48","741057","1"
"2015-09-13 12:43:23","741057","1"
"2015-09-13 12:12:22","1863241","1"
"2015-09-13 10:55:32","1863241","1"
"2015-09-13 12:07:55","741057","1"
"2015-09-13 12:09:25","1863241","1"
